created_at,ticker,station,probability,fair_yes_cents,best_yes_bid_cents,best_yes_ask_cents,spread_cents,limit_price_cents,requested_quantity,filled_quantity,average_price_cents,risk_allowed,risk_reasons,outcome,brier_score,resolved_at,forecast_max_f,adjusted_mean_f,sigma_f,forecast_age_minutes,metar_age_minutes,threshold_f,comparison,upper_f
2026-05-25T02:51:13.364747+00:00,KXHIGHLAX-26MAY25-T70,KLAX,0.07656372550983481,8,3,4,1,4,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,65.0,65.0,3.5,,,,,
2026-05-25T02:51:13.425681+00:00,KXHIGHLAX-26MAY25-T63,KLAX,0.2838545830986763,28,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,3.5,,,,,
2026-05-25T02:51:13.490947+00:00,KXHIGHLAX-26MAY24-T69,KLAX,0.15408619411729818,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,2.0,,,,,
2026-05-25T02:51:13.550618+00:00,KXHIGHLAX-26MAY24-T62,KLAX,0.18601915073111444,19,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,2.0,,,,,
2026-05-25T02:56:20.444149+00:00,KXHIGHNY-26MAY25-T79,KNYC,0.01,1,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,70.0,70.0,3.5,44.323906816666664,0.0002247,,,
2026-05-25T02:56:20.504166+00:00,KXHIGHNY-26MAY25-T72,KNYC,0.7161454169013237,72,42,45,3,45,0,0,,0,"[""existing_paper_position""]",1,0.08057342434612332,2026-05-25T02:34:04.023819+00:00,70.0,70.0,3.5,44.32492138333334,0.0012392500000000001,,,
2026-05-25T02:56:20.568388+00:00,KXHIGHNY-26MAY24-T67,KNYC,0.7944899047351843,79,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,70.0,70.0,2.0,44.32595085,0.0022687166666666664,,,
2026-05-25T02:56:20.626277+00:00,KXHIGHNY-26MAY24-T60,KNYC,0.16009404304027236,16,99,,,0,0,0,,0,"[""missing_executable_ask""]",,,,70.0,70.0,2.0,44.32699841666667,0.00331625,,,
2026-05-25T02:56:21.721361+00:00,KXHIGHCHI-26MAY25-T89,KORD,0.02275013194817943,2,1,2,1,2,0,0,,0,"[""edge_below_threshold""]",,,,82.0,82.00000000000001,3.5,50.14519371666667,0.00023236666666666666,,,
2026-05-25T02:56:21.786618+00:00,KXHIGHCHI-26MAY25-T82,KORD,0.4999999999999984,50,14,15,1,15,33,33,15.0,1,[],,,,82.0,82.00000000000001,3.5,50.14625816666667,0.0012968166666666666,,,
